unit,lat,lon,year,count
Klamath National Forest,41.336017,-122.841974,1942,5
Modoc National Forest,41.339102,-121.147262,1942,5
Los Angeles County,34.05513,-118.25703,1942,16
Riverside CAL FIRE,33.496892,-117.1504,1942,2
Sequoia National Forest,36.032162,-119.078781,1942,7
Lassen National Forest,40.20725,-120.90771,1942,4
Los Padres National Forest,34.768611,-120.061716,1942,8
Sequoia - Kings Canyon NP,36.49042,-118.82488,1942,1
Cleveland National Forest,33.022118,-117.094959,1942,20
Sierra National Forest,36.829829,-119.684965,1942,1
Shasta-Trinity National Forest,40.520709,-122.301395,1942,3
Eldorado National Forest,38.721085,-120.829644,1942,1
Sonoma CDF (old),38.290522,-122.459658,1943,3
San Bernardino National Forest,34.090473,-117.260245,1943,6
Ventura County,34.27834,-119.29317,1943,4
Modoc National Forest,41.339102,-121.147262,1943,4
Los Angeles County,34.05513,-118.25703,1943,9
Eldorado National Forest,38.721085,-120.829644,1943,1
Tahoe National Forest,39.301182,-120.678146,1943,3
Shasta-Trinity National Forest,40.520709,-122.301395,1943,2
Sierra National Forest,36.829829,-119.684965,1943,3
Klamath National Forest,41.336017,-122.841974,1943,4
Toiyabe National Forest,38.62689,-119.3935,1943,3
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1943,18
Cleveland National Forest,33.022118,-117.094959,1943,15
Plumas National Forest,39.937816,-120.94114,1943,2
Lassen National Forest,40.20725,-120.90771,1943,4
Los Padres National Forest,34.768611,-120.061716,1943,5
Six Rivers National Forest,41.840065,-123.997312,1944,1
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1944,4
Klamath National Forest,41.336017,-122.841974,1944,4
San Bernardino National Forest,34.090473,-117.260245,1944,3
Santa Barbara County,34.389656,-119.702652,1944,1
Cleveland National Forest,33.022118,-117.094959,1944,20
Stanislaus National Forest,38.036256,-120.283203,1944,5
Shasta-Trinity National Forest,40.520709,-122.301395,1944,6
Plumas National Forest,39.937816,-120.94114,1944,1
Mendocino CAL FIRE,39.345892,-123.319092,1944,14
Sierra National Forest,36.829829,-119.684965,1944,4
Pinnacles National Park,36.499123,-121.116237,1944,1
Los Padres National Forest,34.768611,-120.061716,1944,4
Tahoe National Forest,39.301182,-120.678146,1944,1
Riverside CAL FIRE,33.496892,-117.1504,1944,2
Mendocino National Forest,39.172201,-122.90607,1944,5
Ventura County,34.27834,-119.29317,1944,2
Sonoma CDF (old),38.290522,-122.459658,1944,3
Modoc National Forest,41.339102,-121.147262,1944,6
Lassen National Forest,40.20725,-120.90771,1944,7
Northern CA District - BLM,33.913568,-117.263252,1944,1
Toiyabe National Forest,38.62689,-119.3935,1944,3
Eldorado National Forest,38.721085,-120.829644,1944,3
Los Angeles County,34.05513,-118.25703,1944,4
Lassen National Forest,40.20725,-120.90771,1945,5
Modoc National Forest,41.339102,-121.147262,1945,4
Cleveland National Forest,33.022118,-117.094959,1945,13
Sequoia - Kings Canyon NP,36.49042,-118.82488,1945,1
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1945,6
Sonoma CDF (old),38.290522,-122.459658,1945,9
Stanislaus National Forest,38.036256,-120.283203,1945,5
Ventura County,34.27834,-119.29317,1945,2
Klamath National Forest,41.336017,-122.841974,1945,7
Toiyabe National Forest,38.62689,-119.3935,1945,1
Sierra National Forest,36.829829,-119.684965,1945,5
Riverside CAL FIRE,33.496892,-117.1504,1945,6
Sequoia National Forest,36.032162,-119.078781,1945,1
Los Padres National Forest,34.768611,-120.061716,1945,8
Los Angeles County,34.05513,-118.25703,1945,5
Shasta-Trinity National Forest,40.520709,-122.301395,1945,3
Mendocino CAL FIRE,39.345892,-123.319092,1945,16
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1945,1
San Bernardino National Forest,34.090473,-117.260245,1945,4
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1945,1
Sequoia - Kings Canyon NP,36.49042,-118.82488,1946,1
Sonoma CDF (old),38.290522,-122.459658,1946,5
Plumas National Forest,39.937816,-120.94114,1946,8
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1946,1
Mendocino National Forest,39.172201,-122.90607,1946,1
Lassen National Forest,40.20725,-120.90771,1946,4
Sequoia National Forest,36.032162,-119.078781,1946,1
Ventura County,34.27834,-119.29317,1946,1
Mendocino CAL FIRE,39.345892,-123.319092,1946,4
Stanislaus National Forest,38.036256,-120.283203,1946,1
Tahoe National Forest,39.301182,-120.678146,1946,1
Cleveland National Forest,33.022118,-117.094959,1946,4
Los Angeles County,34.05513,-118.25703,1946,12
San Bernardino National Forest,34.090473,-117.260245,1946,1
Pinnacles National Park,36.499123,-121.116237,1946,1
Klamath National Forest,41.336017,-122.841974,1946,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1946,1
Modoc National Forest,41.339102,-121.147262,1946,1
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1946,7
Los Padres National Forest,34.768611,-120.061716,1946,1
Toiyabe National Forest,38.62689,-119.3935,1946,2
Sierra National Forest,36.829829,-119.684965,1946,1
Lassen National Forest,40.20725,-120.90771,1947,3
Modoc National Forest,41.339102,-121.147262,1947,1
Eldorado National Forest,38.721085,-120.829644,1947,1
San Bernardino National Forest,34.090473,-117.260245,1947,4
Mendocino CAL FIRE,39.345892,-123.319092,1947,4
Cleveland National Forest,33.022118,-117.094959,1947,14
Stanislaus National Forest,38.036256,-120.283203,1947,3
Pinnacles National Park,36.499123,-121.116237,1947,1
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1947,5
Six Rivers National Forest,41.840065,-123.997312,1947,1
Sequoia - Kings Canyon NP,36.49042,-118.82488,1947,2
Los Angeles County,34.05513,-118.25703,1947,14
Sequoia National Forest,36.032162,-119.078781,1947,3
Sierra National Forest,36.829829,-119.684965,1947,5
Plumas National Forest,39.937816,-120.94114,1947,3
Klamath National Forest,41.336017,-122.841974,1947,2
Ventura County,34.27834,-119.29317,1947,1
Toiyabe National Forest,38.62689,-119.3935,1947,8
Los Padres National Forest,34.768611,-120.061716,1947,3
Shasta-Trinity National Forest,40.520709,-122.301395,1947,3
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1947,4
Tahoe National Forest,39.301182,-120.678146,1947,2
Shasta-Trinity National Forest,40.520709,-122.301395,1948,1
Toiyabe National Forest,38.62689,-119.3935,1948,4
Modoc National Forest,41.339102,-121.147262,1948,3
Cleveland National Forest,33.022118,-117.094959,1948,7
Orange County,33.802647,-117.84931,1948,1
Sequoia - Kings Canyon NP,36.49042,-118.82488,1948,1
Yosemite National Park,37.58395,-119.695053,1948,1
Sequoia National Forest,36.032162,-119.078781,1948,1
Sonoma CDF (old),38.290522,-122.459658,1948,1
Los Padres National Forest,34.768611,-120.061716,1948,4
Mendocino CAL FIRE,39.345892,-123.319092,1948,2
Stanislaus National Forest,38.036256,-120.283203,1948,2
Plumas National Forest,39.937816,-120.94114,1948,1
Ventura County,34.27834,-119.29317,1948,1
San Bernardino National Forest,34.090473,-117.260245,1948,4
Tahoe National Forest,39.301182,-120.678146,1948,1
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1948,4
Sierra National Forest,36.829829,-119.684965,1948,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1948,1
Los Angeles County,34.05513,-118.25703,1948,4
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1948,1
Klamath National Forest,41.336017,-122.841974,1949,3
Shasta-Trinity National Forest,40.520709,-122.301395,1949,10
Sequoia National Forest,36.032162,-119.078781,1949,4
Tahoe National Forest,39.301182,-120.678146,1949,4
San Bernardino National Forest,34.090473,-117.260245,1949,3
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1949,2
Plumas National Forest,39.937816,-120.94114,1949,8
Los Padres National Forest,34.768611,-120.061716,1949,3
Northern CA District - BLM,33.913568,-117.263252,1949,1
Stanislaus National Forest,38.036256,-120.283203,1949,4
Sequoia - Kings Canyon NP,36.49042,-118.82488,1949,2
Mendocino CAL FIRE,39.345892,-123.319092,1949,15
Toiyabe National Forest,38.62689,-119.3935,1949,3
Cleveland National Forest,33.022118,-117.094959,1949,16
Sierra National Forest,36.829829,-119.684965,1949,1
Sonoma CDF (old),38.290522,-122.459658,1949,4
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1949,3
Los Angeles County,34.05513,-118.25703,1949,12
Six Rivers National Forest,41.840065,-123.997312,1949,2
Mendocino National Forest,39.172201,-122.90607,1949,2
Modoc National Forest,41.339102,-121.147262,1949,4
Ventura County,34.27834,-119.29317,1949,1
Lassen National Forest,40.20725,-120.90771,1949,3
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1950,11
Tulare County,36.210334,-119.335214,1950,4
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1950,13
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1950,4
Los Padres National Forest,34.768611,-120.061716,1950,6
Fresno-Kings CAL FIRE,36.75156,-119.800612,1950,3
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1950,10
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1950,7
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1950,16
Sequoia - Kings Canyon NP,36.49042,-118.82488,1950,2
Mendocino CAL FIRE,39.345892,-123.319092,1950,17
Klamath National Forest,41.336017,-122.841974,1950,1
Yosemite National Park,37.58395,-119.695053,1950,1
Six Rivers National Forest,41.840065,-123.997312,1950,2
Cleveland National Forest,33.022118,-117.094959,1950,6
Modoc National Forest,41.339102,-121.147262,1950,3
Tahoe National Forest,39.301182,-120.678146,1950,1
Butte CAL FIRE,36.01296,-116.830549,1950,3
Sequoia National Forest,36.032162,-119.078781,1950,5
Los Angeles County,34.05513,-118.25703,1950,4
Toiyabe National Forest,38.62689,-119.3935,1950,1
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1950,7
Sonoma CDF (old),38.290522,-122.459658,1950,2
Plumas National Forest,39.937816,-120.94114,1950,5
Siskiyou CAL FIRE,41.702654,-122.641241,1950,2
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1950,5
Sierra National Forest,36.829829,-119.684965,1950,3
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1950,4
San Diego CAL FIRE,32.72793,-117.15529,1950,18
San Luis Obispo CAL FIRE,35.266778,-120.659441,1950,4
Santa Barbara County,34.389656,-119.702652,1950,3
San Bernardino National Forest,34.090473,-117.260245,1950,6
Orange County,33.802647,-117.84931,1950,1
Riverside CAL FIRE,33.496892,-117.1504,1950,2
Lassen National Forest,40.20725,-120.90771,1950,7
Santa Clara CAL FIRE,37.356651,-121.961118,1950,2
Ventura County,34.27834,-119.29317,1950,1
San Bernardino CAL FIRE,34.136809,-117.29278,1950,5
Shasta-Trinity National Forest,40.520709,-122.301395,1950,3
Kern County,35.304076,-118.730207,1950,1
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1950,3
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1951,6
Plumas National Forest,39.937816,-120.94114,1951,4
Stanislaus National Forest,38.036256,-120.283203,1951,3
San Luis Obispo CAL FIRE,35.266778,-120.659441,1951,5
Santa Clara CAL FIRE,37.356651,-121.961118,1951,5
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1951,6
San Diego CAL FIRE,32.72793,-117.15529,1951,2
Klamath National Forest,41.336017,-122.841974,1951,6
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1951,4
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1951,5
Butte CAL FIRE,36.01296,-116.830549,1951,1
Kern County,35.304076,-118.730207,1951,1
Cleveland National Forest,33.022118,-117.094959,1951,9
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1951,8
Ventura County,34.27834,-119.29317,1951,6
Orange County,33.802647,-117.84931,1951,1
Fresno-Kings CAL FIRE,36.75156,-119.800612,1951,3
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1951,6
Angeles National Forest,34.181417,-118.074422,1951,1
Modoc National Forest,41.339102,-121.147262,1951,6
Tahoe National Forest,39.301182,-120.678146,1951,1
San Bernardino National Forest,34.090473,-117.260245,1951,6
Riverside CAL FIRE,33.496892,-117.1504,1951,3
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1951,18
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1951,3
Sierra National Forest,36.829829,-119.684965,1951,3
Toiyabe National Forest,38.62689,-119.3935,1951,3
Shasta-Trinity National Forest,40.520709,-122.301395,1951,4
Six Rivers National Forest,41.840065,-123.997312,1951,3
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1951,4
Los Padres National Forest,34.768611,-120.061716,1951,4
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1951,12
Tulare County,36.210334,-119.335214,1951,1
Sequoia National Forest,36.032162,-119.078781,1951,2
Mendocino CAL FIRE,39.345892,-123.319092,1951,8
Mendocino National Forest,39.172201,-122.90607,1951,1
Los Angeles County,34.05513,-118.25703,1951,3
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1952,3
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1952,9
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1952,14
Ventura County,34.27834,-119.29317,1952,2
Vandenberg Air Force Base,34.7483,-120.51817,1952,2
Riverside CAL FIRE,33.496892,-117.1504,1952,4
Plumas National Forest,39.937816,-120.94114,1952,1
Mendocino National Forest,39.172201,-122.90607,1952,1
Modoc National Forest,41.339102,-121.147262,1952,1
Toiyabe National Forest,38.62689,-119.3935,1952,1
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1952,3
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1952,21
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1952,4
Mendocino CAL FIRE,39.345892,-123.319092,1952,17
San Bernardino CAL FIRE,34.136809,-117.29278,1952,1
Los Angeles County,34.05513,-118.25703,1952,2
Stanislaus National Forest,38.036256,-120.283203,1952,1
Sierra National Forest,36.829829,-119.684965,1952,2
San Bernardino National Forest,34.090473,-117.260245,1952,3
San Diego CAL FIRE,32.72793,-117.15529,1952,5
San Luis Obispo CAL FIRE,35.266778,-120.659441,1952,4
Tulare County,36.210334,-119.335214,1952,1
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1952,5
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1952,2
Santa Clara CAL FIRE,37.356651,-121.961118,1952,5
Cleveland National Forest,33.022118,-117.094959,1952,2
Sequoia National Forest,36.032162,-119.078781,1952,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1952,1
Shasta-Trinity National Forest,40.520709,-122.301395,1952,4
Sonoma CDF (old),38.290522,-122.459658,1952,2
Angeles National Forest,34.181417,-118.074422,1952,1
Fresno-Kings CAL FIRE,36.75156,-119.800612,1952,2
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1953,8
Yosemite National Park,37.58395,-119.695053,1953,5
San Luis Obispo CAL FIRE,35.266778,-120.659441,1953,1
Tulare County,36.210334,-119.335214,1953,1
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1953,5
Santa Clara CAL FIRE,37.356651,-121.961118,1953,2
Stanislaus National Forest,38.036256,-120.283203,1953,1
Lassen National Forest,40.20725,-120.90771,1953,1
Riverside CAL FIRE,33.496892,-117.1504,1953,7
Siskiyou CAL FIRE,41.702654,-122.641241,1953,1
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1953,6
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1953,12
Los Angeles County,34.05513,-118.25703,1953,12
Six Rivers National Forest,41.840065,-123.997312,1953,2
San Diego CAL FIRE,32.72793,-117.15529,1953,18
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1953,1
San Bernardino CAL FIRE,34.136809,-117.29278,1953,1
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1953,6
San Bernardino National Forest,34.090473,-117.260245,1953,9
Sierra National Forest,36.829829,-119.684965,1953,6
Shasta-Trinity National Forest,40.520709,-122.301395,1953,3
Sequoia National Forest,36.032162,-119.078781,1953,2
Los Padres National Forest,34.768611,-120.061716,1953,4
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1953,2
Pinnacles National Park,36.499123,-121.116237,1953,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1953,1
Modoc National Forest,41.339102,-121.147262,1953,1
Angeles National Forest,34.181417,-118.074422,1953,8
Toiyabe National Forest,38.62689,-119.3935,1953,2
Tahoe National Forest,39.301182,-120.678146,1953,1
Cleveland National Forest,33.022118,-117.094959,1953,3
Sequoia - Kings Canyon NP,36.49042,-118.82488,1953,1
Fresno-Kings CAL FIRE,36.75156,-119.800612,1953,2
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1953,3
Ventura County,34.27834,-119.29317,1953,3
Northern CA District - BLM,33.913568,-117.263252,1954,2
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1954,3
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1954,4
Orange County,33.802647,-117.84931,1954,1
Siskiyou CAL FIRE,41.702654,-122.641241,1954,1
Tahoe National Forest,39.301182,-120.678146,1954,2
Toiyabe National Forest,38.62689,-119.3935,1954,2
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1954,2
Sierra National Forest,36.829829,-119.684965,1954,1
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1954,1
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1954,15
Angeles National Forest,34.181417,-118.074422,1954,1
Modoc National Forest,41.339102,-121.147262,1954,3
Kern County,35.304076,-118.730207,1954,2
Plumas National Forest,39.937816,-120.94114,1954,1
Los Padres National Forest,34.768611,-120.061716,1954,4
Riverside CAL FIRE,33.496892,-117.1504,1954,3
Sonoma CDF (old),38.290522,-122.459658,1954,2
Tulare County,36.210334,-119.335214,1954,5
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1954,2
San Bernardino CAL FIRE,34.136809,-117.29278,1954,4
Ventura County,34.27834,-119.29317,1954,2
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1954,2
Sequoia National Forest,36.032162,-119.078781,1954,2
Klamath National Forest,41.336017,-122.841974,1954,2
Shasta-Trinity National Forest,40.520709,-122.301395,1954,2
Eldorado National Forest,38.721085,-120.829644,1954,1
Butte CAL FIRE,36.01296,-116.830549,1954,5
San Bernardino National Forest,34.090473,-117.260245,1954,1
Mendocino CAL FIRE,39.345892,-123.319092,1954,6
San Diego CAL FIRE,32.72793,-117.15529,1954,3
San Luis Obispo CAL FIRE,35.266778,-120.659441,1954,2
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1954,8
Santa Barbara County,34.389656,-119.702652,1954,1
Santa Clara CAL FIRE,37.356651,-121.961118,1954,3
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1954,6
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1954,4
Stanislaus National Forest,38.036256,-120.283203,1954,2
Cleveland National Forest,33.022118,-117.094959,1954,3
Los Angeles County,34.05513,-118.25703,1954,6
San Mateo - Santa Cruz CAL FIRE,37.562052,-122.308504,1954,1
Sequoia - Kings Canyon NP,36.49042,-118.82488,1954,2
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1955,6
Mendocino CAL FIRE,39.345892,-123.319092,1955,10
Orange County,33.802647,-117.84931,1955,1
San Bernardino National Forest,34.090473,-117.260245,1955,2
Ventura County,34.27834,-119.29317,1955,3
San Diego CAL FIRE,32.72793,-117.15529,1955,8
Fresno-Kings CAL FIRE,36.75156,-119.800612,1955,1
Lassen National Forest,40.20725,-120.90771,1955,4
Shasta-Trinity National Forest,40.520709,-122.301395,1955,2
Siskiyou CAL FIRE,41.702654,-122.641241,1955,1
Angeles National Forest,34.181417,-118.074422,1955,1
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1955,1
Sonoma CDF (old),38.290522,-122.459658,1955,1
Butte CAL FIRE,36.01296,-116.830549,1955,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1955,2
Los Padres National Forest,34.768611,-120.061716,1955,1
Sierra National Forest,36.829829,-119.684965,1955,3
Riverside CAL FIRE,33.496892,-117.1504,1955,3
San Luis Obispo CAL FIRE,35.266778,-120.659441,1955,4
Santa Clara CAL FIRE,37.356651,-121.961118,1955,3
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1955,4
Plumas National Forest,39.937816,-120.94114,1955,2
Sequoia National Forest,36.032162,-119.078781,1955,3
Tahoe National Forest,39.301182,-120.678146,1955,1
San Bernardino CAL FIRE,34.136809,-117.29278,1955,4
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1955,2
Los Angeles County,34.05513,-118.25703,1955,12
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1955,6
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1955,12
Sequoia - Kings Canyon NP,36.49042,-118.82488,1955,1
Cleveland National Forest,33.022118,-117.094959,1955,2
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1955,5
Six Rivers National Forest,41.840065,-123.997312,1955,3
Stanislaus National Forest,38.036256,-120.283203,1955,2
Klamath National Forest,41.336017,-122.841974,1955,10
Toiyabe National Forest,38.62689,-119.3935,1955,1
Santa Barbara County,34.389656,-119.702652,1955,1
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1955,2
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1956,1
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1956,2
San Bernardino National Forest,34.090473,-117.260245,1956,4
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1956,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1956,3
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1956,1
Orange County,33.802647,-117.84931,1956,1
Los Padres National Forest,34.768611,-120.061716,1956,2
Mendocino CAL FIRE,39.345892,-123.319092,1956,4
Riverside CAL FIRE,33.496892,-117.1504,1956,5
Klamath National Forest,41.336017,-122.841974,1956,5
Cleveland National Forest,33.022118,-117.094959,1956,1
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1956,3
Toiyabe National Forest,38.62689,-119.3935,1956,2
Shasta-Trinity National Forest,40.520709,-122.301395,1956,2
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1956,3
Sequoia National Forest,36.032162,-119.078781,1956,1
Eldorado National Forest,38.721085,-120.829644,1956,1
Angeles National Forest,34.181417,-118.074422,1956,1
San Diego CAL FIRE,32.72793,-117.15529,1956,12
San Luis Obispo CAL FIRE,35.266778,-120.659441,1956,3
San Bernardino CAL FIRE,34.136809,-117.29278,1956,4
Ventura County,34.27834,-119.29317,1956,6
Los Angeles County,34.05513,-118.25703,1956,11
Tulare County,36.210334,-119.335214,1956,1
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1956,1
Los Angeles County,34.05513,-118.25703,1957,14
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1957,5
Mendocino CAL FIRE,39.345892,-123.319092,1957,2
San Diego CAL FIRE,32.72793,-117.15529,1957,6
Los Padres National Forest,34.768611,-120.061716,1957,4
Plumas National Forest,39.937816,-120.94114,1957,1
San Luis Obispo CAL FIRE,35.266778,-120.659441,1957,3
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1957,2
Butte CAL FIRE,36.01296,-116.830549,1957,1
Sequoia National Forest,36.032162,-119.078781,1957,4
Angeles National Forest,34.181417,-118.074422,1957,5
Klamath National Forest,41.336017,-122.841974,1957,4
Orange County,33.802647,-117.84931,1957,1
Riverside CAL FIRE,33.496892,-117.1504,1957,8
Vandenberg Air Force Base,34.7483,-120.51817,1957,3
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1957,4
Ventura County,34.27834,-119.29317,1957,4
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1957,1
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1957,12
Tulare County,36.210334,-119.335214,1957,2
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1957,3
Fresno-Kings CAL FIRE,36.75156,-119.800612,1957,1
Toiyabe National Forest,38.62689,-119.3935,1957,1
Six Rivers National Forest,41.840065,-123.997312,1957,1
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1957,5
Cleveland National Forest,33.022118,-117.094959,1957,1
Modoc National Forest,41.339102,-121.147262,1957,2
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1957,8
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1957,2
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1957,5
San Bernardino CAL FIRE,34.136809,-117.29278,1957,2
Stanislaus National Forest,38.036256,-120.283203,1957,1
San Bernardino National Forest,34.090473,-117.260245,1957,6
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1958,1
Cleveland National Forest,33.022118,-117.094959,1958,10
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1958,9
Los Angeles County,34.05513,-118.25703,1958,13
San Bernardino CAL FIRE,34.136809,-117.29278,1958,10
Angeles National Forest,34.181417,-118.074422,1958,2
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1958,7
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1958,2
Butte CAL FIRE,36.01296,-116.830549,1958,2
Sequoia - Kings Canyon NP,36.49042,-118.82488,1958,1
Mendocino National Forest,39.172201,-122.90607,1958,1
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1958,4
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1958,2
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1958,4
Riverside CAL FIRE,33.496892,-117.1504,1958,11
Sequoia National Forest,36.032162,-119.078781,1958,2
Eldorado National Forest,38.721085,-120.829644,1958,1
Klamath National Forest,41.336017,-122.841974,1958,1
Ventura County,34.27834,-119.29317,1958,5
Siskiyou CAL FIRE,41.702654,-122.641241,1958,2
Lassen National Forest,40.20725,-120.90771,1958,1
Orange County,33.802647,-117.84931,1958,2
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1958,5
San Diego CAL FIRE,32.72793,-117.15529,1958,8
Sierra National Forest,36.829829,-119.684965,1958,1
Santa Clara CAL FIRE,37.356651,-121.961118,1958,6
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1958,5
Modoc National Forest,41.339102,-121.147262,1958,1
Fresno-Kings CAL FIRE,36.75156,-119.800612,1958,3
San Luis Obispo CAL FIRE,35.266778,-120.659441,1958,2
Tulare County,36.210334,-119.335214,1958,5
Mendocino CAL FIRE,39.345892,-123.319092,1958,6
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1958,6
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1959,4
Santa Clara CAL FIRE,37.356651,-121.961118,1959,1
Shasta-Trinity National Forest,40.520709,-122.301395,1959,3
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1959,5
Six Rivers National Forest,41.840065,-123.997312,1959,5
Tahoe National Forest,39.301182,-120.678146,1959,4
Stanislaus National Forest,38.036256,-120.283203,1959,3
Northern CA District - BLM,33.913568,-117.263252,1959,1
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1959,6
San Mateo - Santa Cruz CAL FIRE,37.562052,-122.308504,1959,1
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1959,2
Toiyabe National Forest,38.62689,-119.3935,1959,1
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1959,1
Lassen National Forest,40.20725,-120.90771,1959,1
Cleveland National Forest,33.022118,-117.094959,1959,4
Fresno-Kings CAL FIRE,36.75156,-119.800612,1959,1
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1959,14
San Bernardino National Forest,34.090473,-117.260245,1959,1
