year,month,count
1923,11,0.0
1923,12,1.0
1924,1,1.0
1924,2,0.0
1924,3,0.0
1924,4,2.0
1924,5,1.0
1924,6,2.0
1924,7,5.0
1924,8,7.0
1924,9,11.0
1924,10,0.0
1924,11,0.0
1924,12,0.0
1925,1,0.0
1925,2,0.0
1925,3,2.0
1925,4,0.0
1925,5,0.0
1925,6,0.0
1925,7,4.0
1925,8,1.0
1925,9,1.0
1925,10,0.0
1925,11,1.0
1925,12,0.0
1926,1,0.0
1926,2,0.0
1926,3,0.0
1926,4,0.0
1926,5,0.0
1926,6,0.0
1926,7,6.0
1926,8,2.0
1926,9,4.0
1926,10,0.0
1926,11,2.0
1926,12,0.0
1927,1,0.0
1927,2,0.0
1927,3,0.0
1927,4,1.0
1927,5,1.0
1927,6,0.0
1927,7,7.0
1927,8,4.0
1927,9,1.0
1927,10,1.0
1927,11,0.0
1927,12,2.0
1928,1,0.0
1928,2,1.0
1928,3,0.0
1928,4,0.0
1928,5,2.0
1928,6,5.0
1928,7,7.0
1928,8,4.0
1928,9,4.0
1928,10,0.0
1928,11,2.0
1928,12,0.0
1929,1,0.0
1929,2,1.0
1929,3,0.0
1929,4,0.0
1929,5,1.0
1929,6,3.0
1929,7,3.0
1929,8,10.0
1929,9,8.0
1929,10,4.0
1929,11,5.0
1929,12,2.0
1930,1,0.0
1930,2,0.0
1930,3,0.0
1930,4,0.0
1930,5,0.0
1930,6,0.0
1930,7,4.0
1930,8,3.0
1930,9,1.0
1930,10,0.0
1930,11,1.0
1930,12,0.0
1931,1,0.0
1931,2,0.0
1931,3,0.0
1931,4,2.0
1931,5,0.0
1931,6,2.0
1931,7,6.0
1931,8,9.0
1931,9,4.0
1931,10,1.0
1931,11,0.0
1931,12,0.0
1932,1,0.0
1932,2,0.0
1932,3,0.0
1932,4,0.0
1932,5,0.0
1932,6,0.0
1932,7,0.0
1932,8,3.0
1932,9,6.0
1932,10,5.0
1932,11,1.0
1932,12,0.0
1933,1,1.0
1933,2,0.0
1933,3,0.0
1933,4,0.0
1933,5,0.0
1933,6,0.0
1933,7,1.0
1933,8,4.0
1933,9,1.0
1933,10,0.0
1933,11,1.0
1933,12,0.0
1934,1,0.0
1934,2,0.0
1934,3,1.0
1934,4,0.0
1934,5,0.0
1934,6,0.0
1934,7,7.0
1934,8,4.0
1934,9,5.0
1934,10,0.0
1934,11,0.0
1934,12,0.0
1935,1,0.0
1935,2,0.0
1935,3,0.0
1935,4,0.0
1935,5,0.0
1935,6,1.0
1935,7,2.0
1935,8,2.0
1935,9,1.0
1935,10,6.0
1935,11,0.0
1935,12,0.0
1936,1,1.0
1936,2,0.0
1936,3,0.0
1936,4,0.0
1936,5,1.0
1936,6,2.0
1936,7,3.0
1936,8,5.0
1936,9,7.0
1936,10,4.0
1936,11,2.0
1936,12,0.0
1937,1,0.0
1937,2,0.0
1937,3,0.0
1937,4,0.0
1937,5,0.0
1937,6,0.0
1937,7,5.0
1937,8,1.0
1937,9,1.0
1937,10,0.0
1937,11,0.0
1937,12,1.0
1938,1,0.0
1938,2,0.0
1938,3,0.0
1938,4,0.0
1938,5,0.0
1938,6,0.0
1938,7,6.0
1938,8,2.0
1938,9,3.0
1938,10,1.0
1938,11,5.0
1938,12,0.0
1939,1,0.0
1939,2,0.0
1939,3,0.0
1939,4,0.0
1939,5,2.0
1939,6,2.0
1939,7,8.0
1939,8,10.0
1939,9,6.0
1939,10,1.0
1939,11,2.0
1939,12,0.0
1940,1,0.0
1940,2,0.0
1940,3,0.0
1940,4,0.0
1940,5,0.0
1940,6,1.0
1940,7,8.0
1940,8,10.0
1940,9,0.0
1940,10,1.0
1940,11,0.0
1940,12,0.0
1941,1,0.0
1941,2,0.0
1941,3,0.0
1941,4,0.0
1941,5,0.0
1941,6,3.0
1941,7,6.0
1941,8,3.0
1941,9,3.0
1941,10,4.0
1941,11,1.0
1941,12,0.0
1942,1,0.0
1942,2,0.0
1942,3,0.0
1942,4,1.0
1942,5,2.0
1942,6,1.0
1942,7,4.0
1942,8,6.0
1942,9,2.0
1942,10,4.0
1942,11,2.0
1942,12,0.0
1943,1,0.0
1943,2,0.0
1943,3,0.0
1943,4,0.0
1943,5,3.0
1943,6,3.0
1943,7,8.0
1943,8,5.0
1943,9,7.0
1943,10,2.0
1943,11,6.0
1943,12,0.0
1944,1,0.0
1944,2,0.0
1944,3,0.0
1944,4,1.0
1944,5,1.0
1944,6,5.0
1944,7,3.0
1944,8,9.0
1944,9,16.0
1944,10,1.0
1944,11,0.0
1944,12,0.0
1945,1,0.0
1945,2,0.0
1945,3,0.0
1945,4,0.0
1945,5,0.0
1945,6,1.0
1945,7,5.0
1945,8,9.0
1945,9,17.0
1945,10,8.0
1945,11,0.0
1945,12,0.0
1946,1,0.0
1946,2,0.0
1946,3,0.0
1946,4,0.0
1946,5,0.0
1946,6,3.0
1946,7,5.0
1946,8,3.0
1946,9,13.0
1946,10,1.0
1946,11,2.0
1946,12,0.0
1947,1,0.0
1947,2,0.0
1947,3,0.0
1947,4,1.0
1947,5,2.0
1947,6,2.0
1947,7,9.0
1947,8,7.0
1947,9,7.0
1947,10,0.0
1947,11,1.0
1947,12,0.0
1948,1,2.0
1948,2,0.0
1948,3,0.0
1948,4,0.0
1948,5,0.0
1948,6,0.0
1948,7,0.0
1948,8,3.0
1948,9,4.0
1948,10,0.0
1948,11,2.0
1948,12,0.0
1949,1,0.0
1949,2,0.0
1949,3,0.0
1949,4,1.0
1949,5,1.0
1949,6,1.0
1949,7,8.0
1949,8,8.0
1949,9,19.0
1949,10,3.0
1949,11,3.0
1949,12,0.0
1950,1,0.0
1950,2,0.0
1950,3,0.0
1950,4,0.0
1950,5,2.0
1950,6,13.0
1950,7,36.0
1950,8,54.0
1950,9,38.0
1950,10,13.0
1950,11,6.0
1950,12,1.0
1951,1,0.0
1951,2,0.0
1951,3,1.0
1951,4,1.0
1951,5,2.0
1951,6,12.0
1951,7,32.0
1951,8,46.0
1951,9,35.0
1951,10,2.0
1951,11,2.0
1951,12,1.0
1952,1,0.0
1952,2,0.0
1952,3,0.0
1952,4,1.0
1952,5,2.0
1952,6,6.0
1952,7,16.0
1952,8,31.0
1952,9,37.0
1952,10,14.0
1952,11,3.0
1952,12,0.0
1953,1,0.0
1953,2,2.0
1953,3,0.0
1953,4,0.0
1953,5,6.0
1953,6,12.0
1953,7,29.0
1953,8,21.0
1953,9,15.0
1953,10,20.0
1953,11,0.0
1953,12,3.0
1954,1,0.0
1954,2,1.0
1954,3,1.0
1954,4,0.0
1954,5,2.0
1954,6,12.0
1954,7,49.0
1954,8,19.0
1954,9,15.0
1954,10,4.0
1954,11,2.0
1954,12,3.0
1955,1,0.0
1955,2,1.0
1955,3,0.0
1955,4,0.0
1955,5,0.0
1955,6,6.0
1955,7,14.0
1955,8,37.0
1955,9,49.0
1955,10,5.0
1955,11,4.0
1955,12,0.0
1956,1,0.0
1956,2,0.0
1956,3,0.0
1956,4,0.0
1956,5,0.0
1956,6,2.0
1956,7,6.0
1956,8,21.0
1956,9,21.0
1956,10,3.0
1956,11,10.0
1956,12,6.0
1957,1,0.0
1957,2,0.0
1957,3,0.0
1957,4,0.0
1957,5,0.0
1957,6,19.0
1957,7,22.0
1957,8,29.0
1957,9,31.0
1957,10,1.0
1957,11,1.0
1957,12,0.0
1958,1,0.0
1958,2,0.0
1958,3,0.0
1958,4,0.0
1958,5,4.0
1958,6,3.0
1958,7,37.0
1958,8,18.0
1958,9,37.0
1958,10,15.0
1958,11,3.0
1958,12,8.0
1959,1,0.0
1959,2,0.0
1959,3,0.0
1959,4,2.0
1959,5,1.0
1959,6,21.0
1959,7,33.0
1959,8,31.0
1959,9,5.0
1959,10,19.0
1959,11,9.0
1959,12,1.0
1960,1,0.0
1960,2,0.0
1960,3,0.0
1960,4,0.0
1960,5,2.0
1960,6,9.0
1960,7,18.0
1960,8,16.0
1960,9,8.0
1960,10,4.0
1960,11,0.0
1960,12,1.0
1961,1,3.0
1961,2,1.0
1961,3,0.0
1961,4,1.0
1961,5,1.0
1961,6,14.0
1961,7,28.0
1961,8,18.0
1961,9,32.0
1961,10,7.0
1961,11,5.0
1961,12,0.0
1962,1,4.0
1962,2,0.0
1962,3,0.0
1962,4,1.0
1962,5,2.0
1962,6,7.0
1962,7,13.0
1962,8,20.0
1962,9,10.0
1962,10,1.0
1962,11,0.0
1962,12,3.0
1963,1,1.0
1963,2,0.0
1963,3,0.0
1963,4,0.0
1963,5,0.0
1963,6,3.0
1963,7,9.0
1963,8,17.0
1963,9,8.0
1963,10,0.0
1963,11,0.0
1963,12,0.0
1964,1,0.0
1964,2,2.0
1964,3,5.0
