unit,lat,lon,year,count,area_burned
Sequoia National Forest,36.032162,-119.078781,1915,1,270.4461
Stanislaus National Forest,38.036256,-120.283203,1915,5,1292.0346
Tahoe National Forest,39.301182,-120.678146,1915,4,1001.6483999999999
Angeles National Forest,34.181417,-118.074422,1915,11,6534.9981
Los Angeles County,34.05513,-118.25703,1916,2,628.3399
Six Rivers National Forest,41.840065,-123.997312,1916,3,547.6934
Tahoe National Forest,39.301182,-120.678146,1916,9,9728.329099999999
Sierra National Forest,36.829829,-119.684965,1916,6,12609.3459
Modoc National Forest,41.339102,-121.147262,1916,1,694.6268
Cleveland National Forest,33.022118,-117.094959,1916,3,440.07
Angeles National Forest,34.181417,-118.074422,1916,18,13688.3772
Sequoia National Forest,36.032162,-119.078781,1916,5,6425.0657
Stanislaus National Forest,38.036256,-120.283203,1916,2,2957.6752
San Bernardino National Forest,34.090473,-117.260245,1916,6,1664.7585
Plumas National Forest,39.937816,-120.94114,1916,4,1053.1904
Lassen National Forest,40.20725,-120.90771,1916,1,127.471
Los Padres National Forest,34.768611,-120.061716,1916,15,17677.6933
Eldorado National Forest,38.721085,-120.829644,1916,9,12649.5521
Mendocino National Forest,39.172201,-122.90607,1916,1,6189.307
Sequoia National Forest,36.032162,-119.078781,1917,9,6347.4405
Cleveland National Forest,33.022118,-117.094959,1917,17,44169.5827
San Bernardino National Forest,34.090473,-117.260245,1917,7,4235.6398
Klamath National Forest,41.336017,-122.841974,1917,27,67660.7595
Los Angeles County,34.05513,-118.25703,1917,4,1076.7715
Stanislaus National Forest,38.036256,-120.283203,1917,7,9465.0958
Modoc National Forest,41.339102,-121.147262,1917,2,1003.4978000000001
Riverside CAL FIRE,33.496892,-117.1504,1917,3,5686.3552
Angeles National Forest,34.181417,-118.074422,1917,12,3870.7916999999998
Los Padres National Forest,34.768611,-120.061716,1917,19,158357.7317
Eldorado National Forest,38.721085,-120.829644,1917,18,20416.8202
Six Rivers National Forest,41.840065,-123.997312,1917,17,18355.1786
Tahoe National Forest,39.301182,-120.678146,1917,16,12782.9459
Lassen National Forest,40.20725,-120.90771,1917,34,54134.4062
Plumas National Forest,39.937816,-120.94114,1917,10,13088.3863
Sierra National Forest,36.829829,-119.684965,1917,15,16459.346
Plumas National Forest,39.937816,-120.94114,1918,8,17861.3435
Eldorado National Forest,38.721085,-120.829644,1918,7,3953.01
Lassen National Forest,40.20725,-120.90771,1918,17,53507.9195
Los Padres National Forest,34.768611,-120.061716,1918,7,7290.7382
Stanislaus National Forest,38.036256,-120.283203,1918,2,317.1473
Angeles National Forest,34.181417,-118.074422,1918,4,816.4915
Tahoe National Forest,39.301182,-120.678146,1918,15,5280.6216
Sequoia National Forest,36.032162,-119.078781,1918,3,1957.5801000000001
San Bernardino National Forest,34.090473,-117.260245,1918,3,3026.4944
Klamath National Forest,41.336017,-122.841974,1918,19,82997.7129
Six Rivers National Forest,41.840065,-123.997312,1918,5,5432.3393
Modoc National Forest,41.339102,-121.147262,1918,5,2369.2729
Cleveland National Forest,33.022118,-117.094959,1918,1,556.5167
Sierra National Forest,36.829829,-119.684965,1918,4,3850.3258
San Bernardino National Forest,34.090473,-117.260245,1919,7,4453.6249
Tahoe National Forest,39.301182,-120.678146,1919,13,7572.3245
Riverside CAL FIRE,33.496892,-117.1504,1919,1,987.6271
Los Angeles County,34.05513,-118.25703,1919,3,126245.4576
Angeles National Forest,34.181417,-118.074422,1919,18,10724.3393
Klamath National Forest,41.336017,-122.841974,1919,10,21402.8893
Stanislaus National Forest,38.036256,-120.283203,1919,4,8690.2019
Eldorado National Forest,38.721085,-120.829644,1919,9,5938.8471
Cleveland National Forest,33.022118,-117.094959,1919,15,27675.8342
Sierra National Forest,36.829829,-119.684965,1919,9,4152.2676
Modoc National Forest,41.339102,-121.147262,1919,3,1414.7017
Plumas National Forest,39.937816,-120.94114,1919,12,13320.240600000001
Los Padres National Forest,34.768611,-120.061716,1919,8,7616.1973
Lassen National Forest,40.20725,-120.90771,1919,6,2439.383
Sequoia National Forest,36.032162,-119.078781,1919,5,1195.9895
Plumas National Forest,39.937816,-120.94114,1920,20,10978.8058
Klamath National Forest,41.336017,-122.841974,1920,10,3729.2104
Cleveland National Forest,33.022118,-117.094959,1920,4,4072.1883
Modoc National Forest,41.339102,-121.147262,1920,5,7920.3966
Eldorado National Forest,38.721085,-120.829644,1920,4,2381.4765
Tahoe National Forest,39.301182,-120.678146,1920,2,914.742
San Bernardino National Forest,34.090473,-117.260245,1920,3,716.9057
Riverside CAL FIRE,33.496892,-117.1504,1920,1,2799.703
Sequoia National Forest,36.032162,-119.078781,1920,1,512.2143
Mendocino National Forest,39.172201,-122.90607,1920,1,1425.26
Los Padres National Forest,34.768611,-120.061716,1920,13,16422.3052
Sierra National Forest,36.829829,-119.684965,1920,6,6286.7336
Six Rivers National Forest,41.840065,-123.997312,1920,1,199.1332
Stanislaus National Forest,38.036256,-120.283203,1920,7,23817.850899999998
Shasta-Trinity National Forest,40.520709,-122.301395,1920,1,2124.83
Angeles National Forest,34.181417,-118.074422,1920,11,2423.7757
Lassen National Forest,40.20725,-120.90771,1920,16,51288.7128
Sequoia National Forest,36.032162,-119.078781,1921,6,14857.6956
Sierra National Forest,36.829829,-119.684965,1921,8,10536.9656
Los Padres National Forest,34.768611,-120.061716,1921,26,135597.9527
Modoc National Forest,41.339102,-121.147262,1921,1,271.0389
Klamath National Forest,41.336017,-122.841974,1921,2,944.9225
Plumas National Forest,39.937816,-120.94114,1921,12,8669.4543
Lassen National Forest,40.20725,-120.90771,1921,8,3767.4422
