unit,lat,lon,year,count,area_burned
Orange County,33.802647,-117.84931,1951,1,175.6255
Stanislaus National Forest,38.036256,-120.283203,1951,3,1530.3484
Santa Clara CAL FIRE,37.356651,-121.961118,1951,5,8237.1481
San Luis Obispo CAL FIRE,35.266778,-120.659441,1951,5,25913.8281
San Diego CAL FIRE,32.72793,-117.15529,1951,2,1225.1106
Plumas National Forest,39.937816,-120.94114,1951,4,23844.4537
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1951,6,7156.9186
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1951,6,14240.7467
Klamath National Forest,41.336017,-122.841974,1951,6,17773.021500000003
Fresno-Kings CAL FIRE,36.75156,-119.800612,1951,3,10195.8606
Angeles National Forest,34.181417,-118.074422,1951,1,8782.354
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1951,5,2914.6642
Butte CAL FIRE,36.01296,-116.830549,1951,1,471.2509
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1951,4,5489.8248
Kern County,35.304076,-118.730207,1951,1,803.6111
Cleveland National Forest,33.022118,-117.094959,1951,9,2075.5397000000003
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1951,8,13608.2564
Ventura County,34.27834,-119.29317,1951,6,8963.232100000001
San Bernardino National Forest,34.090473,-117.260245,1952,3,5592.3195
San Diego CAL FIRE,32.72793,-117.15529,1952,5,8026.6219
San Luis Obispo CAL FIRE,35.266778,-120.659441,1952,4,1802.7226
Tulare County,36.210334,-119.335214,1952,1,416.0143
Santa Clara CAL FIRE,37.356651,-121.961118,1952,5,15463.5972
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1952,5,3774.2200000000003
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1952,2,1097.7825
Fresno-Kings CAL FIRE,36.75156,-119.800612,1952,2,463.841
Cleveland National Forest,33.022118,-117.094959,1952,2,508.22540000000004
Sequoia National Forest,36.032162,-119.078781,1952,1,105.4199
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1952,1,537.9874
Shasta-Trinity National Forest,40.520709,-122.301395,1952,4,1317.632
Sonoma CDF (old),38.290522,-122.459658,1952,2,1009.3753
Angeles National Forest,34.181417,-118.074422,1952,1,179.4342
Sierra National Forest,36.829829,-119.684965,1952,2,314.6087
Stanislaus National Forest,38.036256,-120.283203,1952,1,383.7737
Los Angeles County,34.05513,-118.25703,1952,2,243.18849999999998
Mendocino CAL FIRE,39.345892,-123.319092,1952,17,15233.6546
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1952,3,6630.5713000000005
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1952,9,8618.3807
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1952,14,12392.0149
Ventura County,34.27834,-119.29317,1952,2,3637.169
Vandenberg Air Force Base,34.7483,-120.51817,1952,2,272.1603
Riverside CAL FIRE,33.496892,-117.1504,1952,4,1895.3033
Plumas National Forest,39.937816,-120.94114,1952,1,400.811
San Bernardino CAL FIRE,34.136809,-117.29278,1952,1,546.0084
Modoc National Forest,41.339102,-121.147262,1952,1,794.4691
Toiyabe National Forest,38.62689,-119.3935,1952,1,456.2209
Mendocino National Forest,39.172201,-122.90607,1952,1,441.4566
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1952,3,2536.1853
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1952,21,28194.5076
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1952,4,9084.7964
Shasta-Trinity National Forest,40.520709,-122.301395,1953,3,650.0204
Sequoia National Forest,36.032162,-119.078781,1953,2,2464.7960000000003
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1953,6,65426.7544
Los Padres National Forest,34.768611,-120.061716,1953,4,68334.7141
Modoc National Forest,41.339102,-121.147262,1953,1,408.0407
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1953,2,1927.5235
Pinnacles National Park,36.499123,-121.116237,1953,1,225.9919
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1953,1,433.629
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1953,3,1964.9792
Angeles National Forest,34.181417,-118.074422,1953,8,66088.5437
Toiyabe National Forest,38.62689,-119.3935,1953,2,457.98699999999997
Tahoe National Forest,39.301182,-120.678146,1953,1,797.4023
Cleveland National Forest,33.022118,-117.094959,1953,3,9559.0324
Sequoia - Kings Canyon NP,36.49042,-118.82488,1953,1,403.4913
Fresno-Kings CAL FIRE,36.75156,-119.800612,1953,2,2244.1942
Ventura County,34.27834,-119.29317,1953,3,13286.5702
San Bernardino National Forest,34.090473,-117.260245,1953,9,4519.2046
Sierra National Forest,36.829829,-119.684965,1953,6,3733.9864
San Bernardino CAL FIRE,34.136809,-117.29278,1953,1,3104.872
San Diego CAL FIRE,32.72793,-117.15529,1953,18,20083.4455
Yosemite National Park,37.58395,-119.695053,1953,5,3727.1526
San Luis Obispo CAL FIRE,35.266778,-120.659441,1953,1,680.6496
Tulare County,36.210334,-119.335214,1953,1,236.4592
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1953,5,4351.7386
Santa Clara CAL FIRE,37.356651,-121.961118,1953,2,2361.1519
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1953,8,10023.580600000001
Stanislaus National Forest,38.036256,-120.283203,1953,1,252.8548
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1953,1,284.4165
Riverside CAL FIRE,33.496892,-117.1504,1953,7,9316.9429
Siskiyou CAL FIRE,41.702654,-122.641241,1953,1,400.3926
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1953,6,5647.8751
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1953,12,10537.8828
Los Angeles County,34.05513,-118.25703,1953,12,19376.0727
Six Rivers National Forest,41.840065,-123.997312,1953,2,261.2847
Lassen National Forest,40.20725,-120.90771,1953,1,281.1729
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1954,8,3545.2478
Klamath National Forest,41.336017,-122.841974,1954,2,670.9533
Shasta-Trinity National Forest,40.520709,-122.301395,1954,2,341.57410000000004
Ventura County,34.27834,-119.29317,1954,2,1746.0905
Eldorado National Forest,38.721085,-120.829644,1954,1,14709.95
Butte CAL FIRE,36.01296,-116.830549,1954,5,3742.3307999999997
San Bernardino National Forest,34.090473,-117.260245,1954,1,306.1882
Mendocino CAL FIRE,39.345892,-123.319092,1954,6,2564.6827000000003
San Diego CAL FIRE,32.72793,-117.15529,1954,3,8429.387999999999
San Luis Obispo CAL FIRE,35.266778,-120.659441,1954,2,4042.78
San Mateo - Santa Cruz CAL FIRE,37.562052,-122.308504,1954,1,166.089
Santa Barbara County,34.389656,-119.702652,1954,1,497.033
Santa Clara CAL FIRE,37.356651,-121.961118,1954,3,1533.5606
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1954,6,13499.2002
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1954,4,7938.5809
Stanislaus National Forest,38.036256,-120.283203,1954,2,2903.6921
Cleveland National Forest,33.022118,-117.094959,1954,3,588.5682
Los Angeles County,34.05513,-118.25703,1954,6,16999.4419
Sequoia - Kings Canyon NP,36.49042,-118.82488,1954,2,4932.670700000001
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1954,2,9035.297999999999
Sequoia National Forest,36.032162,-119.078781,1954,2,947.2002
San Bernardino CAL FIRE,34.136809,-117.29278,1954,4,11128.4156
Tulare County,36.210334,-119.335214,1954,5,9583.131800000001
Tahoe National Forest,39.301182,-120.678146,1954,2,9925.975
Orange County,33.802647,-117.84931,1954,1,4956.253
Siskiyou CAL FIRE,41.702654,-122.641241,1954,1,276.2276
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1954,2,2536.4241
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1954,4,16439.3612
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1954,3,1772.1397
Northern CA District - BLM,33.913568,-117.263252,1954,2,2558.822
Toiyabe National Forest,38.62689,-119.3935,1954,2,1782.4243000000001
Sierra National Forest,36.829829,-119.684965,1954,1,2255.811
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1954,2,2737.4265
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1954,15,18233.8267
Angeles National Forest,34.181417,-118.074422,1954,1,209.771
Modoc National Forest,41.339102,-121.147262,1954,3,5573.9364
Kern County,35.304076,-118.730207,1954,2,1115.0582
Plumas National Forest,39.937816,-120.94114,1954,1,140.3945
Los Padres National Forest,34.768611,-120.061716,1954,4,4942.3899
Riverside CAL FIRE,33.496892,-117.1504,1954,3,8749.9359
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1954,1,1423.528
Sonoma CDF (old),38.290522,-122.459658,1954,2,13252.209
Plumas National Forest,39.937816,-120.94114,1955,2,1332.7364
Sequoia National Forest,36.032162,-119.078781,1955,3,18875.5129
Sequoia - Kings Canyon NP,36.49042,-118.82488,1955,1,258.2734
San Bernardino CAL FIRE,34.136809,-117.29278,1955,4,3425.6794999999997
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1955,2,1561.1469
Los Angeles County,34.05513,-118.25703,1955,12,8247.4218
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1955,6,19433.370000000003
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1955,12,15136.5851
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1955,2,1476.2995999999998
Cleveland National Forest,33.022118,-117.094959,1955,2,1058.7059000000002
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1955,5,2622.6745
Six Rivers National Forest,41.840065,-123.997312,1955,3,1312.9934
Stanislaus National Forest,38.036256,-120.283203,1955,2,415.3061
Klamath National Forest,41.336017,-122.841974,1955,10,99266.0556
Santa Clara CAL FIRE,37.356651,-121.961118,1955,3,7105.8214
Toiyabe National Forest,38.62689,-119.3935,1955,1,206.7873
Santa Barbara County,34.389656,-119.702652,1955,1,488.3912
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1955,4,2715.7385999999997
Tahoe National Forest,39.301182,-120.678146,1955,1,1486.237
San Luis Obispo CAL FIRE,35.266778,-120.659441,1955,4,4018.3568
Los Padres National Forest,34.768611,-120.061716,1955,1,79428.71
San Diego CAL FIRE,32.72793,-117.15529,1955,8,13070.9051
Orange County,33.802647,-117.84931,1955,1,1606.53
San Bernardino National Forest,34.090473,-117.260245,1955,2,1528.2591000000002
Fresno-Kings CAL FIRE,36.75156,-119.800612,1955,1,317.1985
Mendocino CAL FIRE,39.345892,-123.319092,1955,10,12423.5247
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1955,6,33600.1544
Ventura County,34.27834,-119.29317,1955,3,14967.6128
Lassen National Forest,40.20725,-120.90771,1955,4,23162.2768
Riverside CAL FIRE,33.496892,-117.1504,1955,3,1603.6934
Siskiyou CAL FIRE,41.702654,-122.641241,1955,1,594.0298
Angeles National Forest,34.181417,-118.074422,1955,1,338.7066
Shasta-Trinity National Forest,40.520709,-122.301395,1955,2,3660.6294
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1955,1,515.3041
Sonoma CDF (old),38.290522,-122.459658,1955,1,1399.859
Butte CAL FIRE,36.01296,-116.830549,1955,1,462.994
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1955,2,4186.8356
Sierra National Forest,36.829829,-119.684965,1955,3,1086.5161
Shasta-Trinity National Forest,40.520709,-122.301395,1956,2,337.6853
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1956,3,1494.4884
Sequoia National Forest,36.032162,-119.078781,1956,1,166.8959
Eldorado National Forest,38.721085,-120.829644,1956,1,159.7063
Angeles National Forest,34.181417,-118.074422,1956,1,377.1027
Los Angeles County,34.05513,-118.25703,1956,11,6187.1125
San Luis Obispo CAL FIRE,35.266778,-120.659441,1956,3,2834.0765
San Bernardino CAL FIRE,34.136809,-117.29278,1956,4,25486.3829
Ventura County,34.27834,-119.29317,1956,6,41509.842300000004
Tulare County,36.210334,-119.335214,1956,1,312.9708
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1956,1,279.6096
Toiyabe National Forest,38.62689,-119.3935,1956,2,365.2488
San Diego CAL FIRE,32.72793,-117.15529,1956,12,65867.7236
Cleveland National Forest,33.022118,-117.094959,1956,1,128.2431
Riverside CAL FIRE,33.496892,-117.1504,1956,5,7709.5308
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1956,1,380.7321
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1956,2,1618.0887
San Bernardino National Forest,34.090473,-117.260245,1956,4,1880.6718999999998
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1956,1,316.5762
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1956,3,1313.1723000000002
Klamath National Forest,41.336017,-122.841974,1956,5,2429.3806999999997
Orange County,33.802647,-117.84931,1956,1,112.8472
Los Padres National Forest,34.768611,-120.061716,1956,2,2990.5449
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1956,3,11243.5761
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1956,1,245.443
Mendocino CAL FIRE,39.345892,-123.319092,1956,4,1755.964
Cleveland National Forest,33.022118,-117.094959,1957,1,332.8482
Tulare County,36.210334,-119.335214,1957,2,672.6679
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1957,3,1087.0416
Fresno-Kings CAL FIRE,36.75156,-119.800612,1957,1,328.0724
Toiyabe National Forest,38.62689,-119.3935,1957,1,283.896
Six Rivers National Forest,41.840065,-123.997312,1957,1,562.0374
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1957,5,10115.193
San Bernardino National Forest,34.090473,-117.260245,1957,6,1569.4765
Modoc National Forest,41.339102,-121.147262,1957,2,12590.946699999999
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1957,8,8957.044600000001
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1957,2,1406.4456
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1957,5,3692.8519
San Bernardino CAL FIRE,34.136809,-117.29278,1957,2,4103.344
Stanislaus National Forest,38.036256,-120.283203,1957,1,673.8497
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1957,1,11667.71
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1957,12,18156.096700000002
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1957,4,2336.9564
Sequoia National Forest,36.032162,-119.078781,1957,4,2962.4305
Los Angeles County,34.05513,-118.25703,1957,14,29988.392300000003
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1957,5,3989.5936
Mendocino CAL FIRE,39.345892,-123.319092,1957,2,924.5895
Ventura County,34.27834,-119.29317,1957,4,7538.6791
San Diego CAL FIRE,32.72793,-117.15529,1957,6,6595.3862
Los Padres National Forest,34.768611,-120.061716,1957,4,22255.534200000002
Plumas National Forest,39.937816,-120.94114,1957,1,432.3381
San Luis Obispo CAL FIRE,35.266778,-120.659441,1957,3,5420.117200000001
Vandenberg Air Force Base,34.7483,-120.51817,1957,3,1261.379
Butte CAL FIRE,36.01296,-116.830549,1957,1,1202.518
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1957,2,627.1307
Angeles National Forest,34.181417,-118.074422,1957,5,10238.7751
Klamath National Forest,41.336017,-122.841974,1957,4,12256.8961
Orange County,33.802647,-117.84931,1957,1,437.2523
Riverside CAL FIRE,33.496892,-117.1504,1957,8,17256.2601
Siskiyou CAL FIRE,41.702654,-122.641241,1958,2,1381.6335
Lassen National Forest,40.20725,-120.90771,1958,1,481.3746
Orange County,33.802647,-117.84931,1958,2,2489.9332000000004
Santa Clara CAL FIRE,37.356651,-121.961118,1958,6,7774.3141
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1958,5,7627.631299999999
San Diego CAL FIRE,32.72793,-117.15529,1958,8,10244.9051
Sierra National Forest,36.829829,-119.684965,1958,1,836.4549
Eldorado National Forest,38.721085,-120.829644,1958,1,1170.445
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1958,6,2943.9445
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1958,5,8243.0383
Modoc National Forest,41.339102,-121.147262,1958,1,1272.107
Fresno-Kings CAL FIRE,36.75156,-119.800612,1958,3,1926.6449
San Luis Obispo CAL FIRE,35.266778,-120.659441,1958,2,790.0734
Tulare County,36.210334,-119.335214,1958,5,4844.3038
Mendocino CAL FIRE,39.345892,-123.319092,1958,6,3984.9914
Klamath National Forest,41.336017,-122.841974,1958,1,123.2496
Ventura County,34.27834,-119.29317,1958,5,21142.979100000004
Sequoia National Forest,36.032162,-119.078781,1958,2,446.70989999999995
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1958,4,4388.8081999999995
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1958,1,435.8812
Cleveland National Forest,33.022118,-117.094959,1958,10,82117.0832
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1958,9,9054.3657
Los Angeles County,34.05513,-118.25703,1958,13,47760.0531
San Bernardino CAL FIRE,34.136809,-117.29278,1958,10,10759.9783
Angeles National Forest,34.181417,-118.074422,1958,2,385.5751
Riverside CAL FIRE,33.496892,-117.1504,1958,11,9962.5592
Butte CAL FIRE,36.01296,-116.830549,1958,2,1166.5731
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1958,2,993.6459
Sequoia - Kings Canyon NP,36.49042,-118.82488,1958,1,386.3405
Mendocino National Forest,39.172201,-122.90607,1958,1,371.6995
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1958,4,1136.4656
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1958,2,1382.3729
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1958,7,3113.6236
Siskiyou CAL FIRE,41.702654,-122.641241,1959,4,18826.5323
Channel Islands - NPS,33.986645,-119.911155,1959,1,431.6721
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1959,5,5351.4663
Yosemite National Park,37.58395,-119.695053,1959,1,173.0197
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1959,1,3164.238
Plumas National Forest,39.937816,-120.94114,1959,4,10361.6291
Los Angeles County,34.05513,-118.25703,1959,9,21226.249499999998
Eldorado National Forest,38.721085,-120.829644,1959,3,20656.751699999997
Riverside CAL FIRE,33.496892,-117.1504,1959,4,3068.5366
Ventura County,34.27834,-119.29317,1959,3,1754.498
Butte CAL FIRE,36.01296,-116.830549,1959,4,3133.3353
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1959,6,12198.913
Orange County,33.802647,-117.84931,1959,2,3798.1418000000003
San Diego CAL FIRE,32.72793,-117.15529,1959,3,2760.8561
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1959,10,12558.4294
Sequoia National Forest,36.032162,-119.078781,1959,1,9433.216
Los Padres National Forest,34.768611,-120.061716,1959,1,763.5947
Mendocino CAL FIRE,39.345892,-123.319092,1959,8,20406.8644
Sonoma CDF (old),38.290522,-122.459658,1959,9,15945.4393
Klamath National Forest,41.336017,-122.841974,1959,2,378.2624
San Luis Obispo CAL FIRE,35.266778,-120.659441,1959,1,437.5835
Sierra National Forest,36.829829,-119.684965,1959,2,310.88030000000003
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1959,4,2198.7972
Santa Clara CAL FIRE,37.356651,-121.961118,1959,1,1295.962
Shasta-Trinity National Forest,40.520709,-122.301395,1959,3,5548.885
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1959,5,14782.5838
Six Rivers National Forest,41.840065,-123.997312,1959,5,6767.0166
Tahoe National Forest,39.301182,-120.678146,1959,4,34526.8962
Stanislaus National Forest,38.036256,-120.283203,1959,3,4443.7975
Northern CA District - BLM,33.913568,-117.263252,1959,1,12250.5
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1959,6,3991.195
San Bernardino CAL FIRE,34.136809,-117.29278,1959,7,17124.283
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1959,2,1332.9425
Toiyabe National Forest,38.62689,-119.3935,1959,1,100.9386
San Mateo - Santa Cruz CAL FIRE,37.562052,-122.308504,1959,1,1326.827
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1959,1,684.3847
Lassen National Forest,40.20725,-120.90771,1959,1,465.9557
Cleveland National Forest,33.022118,-117.094959,1959,4,1274.926
Modoc National Forest,41.339102,-121.147262,1959,1,173.159
Fresno-Kings CAL FIRE,36.75156,-119.800612,1959,1,389.4559
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1959,14,10046.3681
San Bernardino National Forest,34.090473,-117.260245,1959,1,12060.83
San Bernardino CAL FIRE,34.136809,-117.29278,1960,5,12117.0559
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1960,2,6112.5667
Mendocino CAL FIRE,39.345892,-123.319092,1960,2,941.4608000000001
Modoc National Forest,41.339102,-121.147262,1960,1,4774.146
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1960,12,18540.6325
Tahoe National Forest,39.301182,-120.678146,1960,9,93739.3626
Riverside CAL FIRE,33.496892,-117.1504,1960,5,10337.478299999999
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1960,2,4440.0569
Eldorado National Forest,38.721085,-120.829644,1960,2,13348.276
Inyo National Forest,37.313458,-118.139056,1960,1,2423.073
Sonoma CDF (old),38.290522,-122.459658,1960,2,1737.2060000000001
San Diego CAL FIRE,32.72793,-117.15529,1960,1,745.8449
Plumas National Forest,39.937816,-120.94114,1960,4,8920.386
Stanislaus National Forest,38.036256,-120.283203,1960,3,3161.1338
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1960,1,512.3432
Santa Clara CAL FIRE,37.356651,-121.961118,1960,2,1040.0620000000001
San Bernardino National Forest,34.090473,-117.260245,1960,5,1025.9357
San Luis Obispo CAL FIRE,35.266778,-120.659441,1960,2,908.4960000000001
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1960,3,52764.2256
Sequoia - Kings Canyon NP,36.49042,-118.82488,1960,1,5795.194
Yosemite National Park,37.58395,-119.695053,1960,2,1727.7203
Los Angeles County,34.05513,-118.25703,1960,11,71895.5962
Cleveland National Forest,33.022118,-117.094959,1960,1,155.3834
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1960,3,10945.0792
Butte CAL FIRE,36.01296,-116.830549,1960,2,928.4024
Los Padres National Forest,34.768611,-120.061716,1960,3,14378.177000000001
Sequoia National Forest,36.032162,-119.078781,1960,2,1049.4301
Sequoia National Forest,36.032162,-119.078781,1961,3,6483.8861
Stanislaus National Forest,38.036256,-120.283203,1961,1,131.1655
Six Rivers National Forest,41.840065,-123.997312,1961,2,3367.6414
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1961,18,19660.096999999998
Butte CAL FIRE,36.01296,-116.830549,1961,7,5159.3573
Humboldt - Del Norte CAL FIRE,40.641635,-123.926104,1961,1,183.4229
Santa Clara CAL FIRE,37.356651,-121.961118,1961,8,45327.0089
Sierra National Forest,36.829829,-119.684965,1961,3,24599.607
Tahoe National Forest,39.301182,-120.678146,1961,1,249.2188
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1961,3,44174.0894
Shasta-Trinity National Forest,40.520709,-122.301395,1961,1,257.3447
Los Padres National Forest,34.768611,-120.061716,1961,1,421.969
Monterey - San Benito CAL FIRE,37.017762,-121.577375,1961,2,1978.4936
Cleveland National Forest,33.022118,-117.094959,1961,2,9659.687199999998
Fresno-Kings CAL FIRE,36.75156,-119.800612,1961,2,684.1366
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1961,2,13862.0559
Los Angeles County,34.05513,-118.25703,1961,7,24255.2307
Riverside CAL FIRE,33.496892,-117.1504,1961,2,2008.453
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1961,10,10293.2625
Sequoia - Kings Canyon NP,36.49042,-118.82488,1961,1,219.0802
Sonoma CDF (old),38.290522,-122.459658,1961,5,9965.1524
Toiyabe National Forest,38.62689,-119.3935,1961,1,323.9243
San Bernardino CAL FIRE,34.136809,-117.29278,1961,2,1417.8631
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1961,9,67209.8857
San Bernardino National Forest,34.090473,-117.260245,1961,1,201.4196
Klamath National Forest,41.336017,-122.841974,1961,2,1817.2124
Eldorado National Forest,38.721085,-120.829644,1961,1,174.769
Ventura County,34.27834,-119.29317,1961,1,2426.482
San Diego CAL FIRE,32.72793,-117.15529,1961,2,2459.8967000000002
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1961,2,934.8233
Inyo National Forest,37.313458,-118.139056,1961,1,1566.494
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1961,8,48993.4754
Yosemite National Park,37.58395,-119.695053,1961,1,171.8396
San Luis Obispo CAL FIRE,35.266778,-120.659441,1961,3,3010.0164000000004
Lassen National Forest,40.20725,-120.90771,1961,1,223.6736
Mendocino CAL FIRE,39.345892,-123.319092,1961,1,367.1665
Modoc National Forest,41.339102,-121.147262,1961,1,134.3278
Orange County,33.802647,-117.84931,1961,2,5358.3544
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1961,3,2205.4812
Sonoma CDF (old),38.290522,-122.459658,1962,1,298.6344
Cleveland National Forest,33.022118,-117.094959,1962,3,832.3196
San Bernardino National Forest,34.090473,-117.260245,1962,1,397.4889
Amador - El Dorado CAL FIRE,38.377199,-120.801545,1962,4,1998.4884
Lassen - Modoc CAL FIRE,40.409773,-120.651752,1962,1,307.8548
Sonoma - Lake - Napa CAL FIRE,38.415408,-122.941475,1962,8,13527.508
Riverside CAL FIRE,33.496892,-117.1504,1962,10,32941.484899999996
Sequoia National Forest,36.032162,-119.078781,1962,4,1870.5752
San Diego CAL FIRE,32.72793,-117.15529,1962,3,6545.398999999999
Inyo National Forest,37.313458,-118.139056,1962,1,6497.7
Los Angeles County,34.05513,-118.25703,1962,9,25968.4831
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1962,3,2980.1324999999997
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1962,1,102.553
Ventura County,34.27834,-119.29317,1962,3,7962.807199999999
San Bernardino CAL FIRE,34.136809,-117.29278,1962,1,1778.127
San Luis Obispo CAL FIRE,35.266778,-120.659441,1962,1,218.1121
Klamath National Forest,41.336017,-122.841974,1962,2,687.1909
San Mateo - Santa Cruz CAL FIRE,37.562052,-122.308504,1962,4,5176.3531
Madera - Mariposa CAL FIRE,36.964948,-120.076345,1962,5,9986.0053
Santa Clara CAL FIRE,37.356651,-121.961118,1962,1,165.2557
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1962,2,5898.4562
Modoc National Forest,41.339102,-121.147262,1962,1,121.7823
Sierra National Forest,36.829829,-119.684965,1962,3,1685.1049
Fresno-Kings CAL FIRE,36.75156,-119.800612,1962,5,3223.1513999999997
Stanislaus National Forest,38.036256,-120.283203,1962,2,408.0401
Shasta - Trinity CAL FIRE,40.546793,-122.3855,1963,2,1389.7301
Ventura County,34.27834,-119.29317,1963,3,2757.7947
Lassen National Forest,40.20725,-120.90771,1963,2,969.8059000000001
Tuolumne - Calaveras CAL FIRE,37.951264,-120.239362,1963,2,557.0205
Nevada - Yuba - Placer CAL FIRE,39.338868,-121.219045,1963,1,501.9618
San Bernardino National Forest,34.090473,-117.260245,1963,2,473.9424
Kern County,35.304076,-118.730207,1963,1,568.5868
Klamath National Forest,41.336017,-122.841974,1963,1,119.8292
Butte CAL FIRE,36.01296,-116.830549,1963,1,349.6436
Riverside CAL FIRE,33.496892,-117.1504,1963,4,3511.302
Tehama - Glenn CAL FIRE,40.570817,-122.401684,1963,4,2120.5559
